FirstName,LastName,Patronymic,DateOfBirth,MathScore,RussianScore,PhysicsScore
Teador,Klimecki,Behrendsen,25/02/2020,1,93,38
Francklyn,Klulisek,Hagergham,09/11/2017,85,75,75
Innis,Kobus,Sreenan,21/07/1997,24,25,85
Tabb,Koeppe,Blaylock,12/07/2005,95,84,38
Birch,Kolyagin,Sedgefield,10/05/2001,28,26,81
Zorina,Kopelman,Venny,05/05/2012,90,65,85
Adelbert,Kordes,Oakden,23/09/2008,76,83,88
Juieta,Kording,MacConchie,13/03/2019,21,39,40
Verene,Korous,Silk,21/05/2016,24,78,81
Darlleen,Krale,Swindlehurst,29/05/2016,66,83,98
Keefer,Krolman,McKeighan,29/04/2011,50,42,6
Karleen,Kropp,Bignal,06/08/2002,26,4,19
Melvyn,Kuban,Renzini,28/09/2001,46,10,54
Grace,Kubczak,Stourton,25/11/2016,93,58,46
Blanche,Kubelka,Couvert,01/11/2008,5,48,57
Der,Kulicke,Vickerstaff,29/08/2016,5,90,89
Lek,Kuschek,Pfeffel,07/11/2005,31,55,67
Shelagh,Kynoch,Chippindall,16/10/2018,54,65,65
Annis,L'Hommee,Jenkerson,19/11/2018,55,1,41
Leoine,Labro,Parlott,26/05/1999,50,77,16
Cosetta,Laffin,Justis,23/10/2005,91,65,81
Bernardina,Laing,Lucchi,24/07/2019,75,19,49
Rockie,Lambole,Surmeir,20/06/2007,41,45,83
Natal,Lammertz,Trent,25/10/2006,36,66,36
Rafe,Lanbertoni,Isworth,14/12/2009,22,43,54
Grantley,Lancaster,Cockayme,04/12/2008,39,43,94
Vanya,Langfitt,Kirsche,19/05/2018,82,42,17
Elyssa,Lantiff,Mealand,16/11/2014,41,32,42
Dilan,Larchiere,Shales,02/03/2004,84,99,31
Judye,Laurentino,Rosnau,07/05/2012,95,77,16
Annie,Lawlee,Beggan,22/06/2020,81,39,19
Munroe,Laying,Albury,23/05/2011,59,24,5
Georgianna,Leadley,Feaster,02/12/2019,73,51,96
Teodor,Leadston,Brettoner,08/04/2002,94,30,43
Gerick,Leavens,Bartolomeotti,01/02/2006,81,96,47
Cody,Leblanc,Keiling,24/04/2005,98,13,86
Chancey,Leeman,Besson,19/01/2008,94,40,74
Bax,Leethem,Kirkebye,13/10/2015,26,40,15
Ruthann,Leguay,de Werk,30/03/2012,15,36,61
Emilie,Lello,Faltskog,22/04/2011,17,23,41
Joann,Lerer,Destouche,29/07/1998,77,79,7
Rodge,Leupold,MacFayden,18/05/2001,57,33,13
Ardisj,Leyre,Shakespear,09/02/2014,74,3,62
Stearne,Leyrroyd,McKune,12/12/2007,12,4,63
Neilla,Lias,Lawey,17/05/2006,76,28,9
Bryce,Lideard,Basnett,13/12/2004,69,62,81
Mirabelle,Lidgerton,Hardman,07/08/2003,69,4,42
Caty,Lilie,Manion,17/05/2014,6,100,60
Adler,Lillford,Spinas,24/10/2016,58,6,58
Alleyn,Lillo,Keilloh,06/01/2011,100,56,33
Anselma,Littley,Soppeth,05/08/2006,71,89,3
Becca,Lobley,Swettenham,26/03/2013,56,61,72
Skipp,Lock,Wordsworth,13/09/2009,11,10,58
Mac,Lofthouse,O'Cannavan,30/01/2017,72,27,19
Midge,Lohden,Jzak,23/09/2014,91,83,35
Tandi,Longcake,Rihosek,06/04/2000,93,12,55
Fiona,Longea,Dray,08/05/2009,76,8,70
Esther,Longfoot,Shanley,30/11/2018,90,42,74
Ethelda,Longhi,Yezafovich,29/06/2004,64,76,84
Dallis,Longthorn,Toner,27/03/2003,7,19,55
Freddy,Loomis,Grigs,14/05/2005,94,29,34
Brandice,Lorenc,Jessop,05/01/2009,25,67,45
Amaleta,Lorens,covino,13/11/2010,27,70,22
Hayden,Lorne,Djekic,24/12/2004,31,12,11
Francklin,Loveless,Drinnan,01/10/2004,76,53,15
Joice,Lovell,Gierck,19/10/2011,41,97,48
Northrup,Lowde,Kittless,19/05/1997,52,87,74
Amalea,Lube,Bruno,05/03/2007,62,9,75
Chery,Lucius,Chattell,17/10/2013,81,54,34
Roth,Luckes,De La Hay,06/02/2019,47,84,82
Beverley,Luscott,Reide,28/01/2005,0,98,100
Dawna,Lyvon,Della Scala,05/08/1999,98,92,7
Dinny,MacAllaster,Colliver,01/07/1999,26,87,81
Ashlan,MacCardle,Quittonden,19/10/2016,74,15,8
Kevyn,MacCarroll,Ioannou,07/06/2014,43,43,47
Sandi,MacGillicuddy,Bonnick,08/06/2009,58,4,14
Rivi,MacGinney,MacElane,01/06/2005,12,19,98
Elysha,MacGrath,Devanny,04/12/2015,26,45,63
Anatollo,MacKellar,Goldes,04/03/2017,75,79,25
Richy,MacKinnon,Skellen,12/03/2016,54,37,50
Vernor,MacKniely,Sivyer,15/10/2020,1,73,40
Consuela,MacLaig,Osbourn,12/10/2005,77,12,4
Lindsey,MacNeachtain,Avann,09/11/2004,50,74,2
Gearalt,MacNockater,Pavlovsky,09/06/1999,49,38,85
Monro,MacPharlain,Savine,24/07/2016,80,37,94
Patrice,MacShirrie,Clew,20/12/2013,51,39,54
Jaimie,MacVean,Linfoot,28/08/2013,94,97,98
Aura,Maccari,Scantlebury,18/03/2016,68,56,13
Adolphe,Macguire,Neaverson,20/07/2007,60,63,75
Keefe,Machen,Langton,15/04/2005,57,33,11
Frank,Madison,Pischel,25/04/2014,8,8,71
Justis,Madre,Schnitter,01/12/2009,55,69,83
Berthe,Maffeo,Creboe,26/08/2007,52,22,77
Briney,Maffin,Devlin,29/12/1997,61,60,58
Reuven,Malim,Dine-Hart,23/03/2004,12,2,72
Luz,Malthus,McNally,20/10/1999,82,28,71
Ciro,Manhood,Vittet,03/03/2015,97,21,13
Gerrard,Manhood,Connop,20/07/2005,0,3,4
Tressa,Manon,Batcock,07/10/2001,45,85,4
Annora,Mantha,Hemphall,10/02/2001,2,51,21
Dana,Manuaud,Peotz,11/10/2004,76,22,98
Jozef,Mapis,Bulter,12/04/1999,86,61,78
Cariotta,Marchington,Eliyahu,21/11/1997,91,60,32
Marcel,Martinelli,Danielsson,10/09/2000,92,74,90
Saudra,Marzelli,Jewar,08/08/2016,72,24,48
Erina,Masding,Bilby,02/09/2017,53,35,5
Ettie,Mate,Moyes,17/02/2003,2,30,19
Margaret,Mathiassen,Tofanini,30/01/2009,73,58,37
Reagan,Matiashvili,Wardhough,30/05/2006,92,37,3
Barnabas,Matthieson,Braizier,18/03/2009,47,73,62
Iolande,Mattsson,Korneev,02/10/2019,18,13,44
Eachelle,Matushevich,Nelligan,16/07/2002,3,28,78
Karel,Mauro,Petrescu,20/08/2013,0,28,35
Arnaldo,Maving,Hurl,11/11/2012,1,96,41
Mirella,Mayoh,Huller,16/10/2012,53,69,2
Onofredo,Mc Combe,McGhie,15/10/2002,87,78,12
Adriaens,McAuley,Syms,04/08/2003,96,89,46
Ezmeralda,McCauley,Neesam,25/07/2005,9,49,10
Warde,McCurley,Cabral,17/05/1998,74,16,73
Clim,McGilbon,Mushet,18/07/2010,14,88,28
Rachel,McGinn,Pepys,04/08/2002,1,58,7
Barnebas,McGlade,Gatus,03/05/2018,99,22,14
Winslow,McGorley,Flavelle,01/08/2005,58,26,74
Hope,McGuire,Baston,03/04/2011,97,35,64
Emelita,McKaile,Beaton,25/10/2020,54,77,41
Gustaf,McKennan,Eric,13/11/2015,94,55,71
Waverley,McLurg,Gelsthorpe,11/12/2011,88,4,15
Ag,McMeyler,Dobbie,10/06/2019,4,3,18
Latrina,McMichell,Glowinski,25/07/2005,78,94,64
Boony,McMillan,Goodie,05/02/2003,52,16,2
Marvin,McMillian,Extill,04/06/1998,71,52,1
Cherry,McQuilty,Wettern,20/01/2005,99,87,71
Doe,McRannell,Lief,12/05/2014,17,39,53
Thorpe,McTiernan,Yarrow,21/10/2009,30,15,31
Michaelina,McVanamy,Di Maria,18/01/1999,35,4,38
Cordie,Mcasparan,Shewon,14/04/2020,60,77,11
Kerk,Meakin,Filochov,18/03/2008,50,53,85
Kellby,Meaking,Tappin,22/07/2014,14,31,74
Holt,Meece,Stellino,03/03/2016,42,66,81
Sigismond,Meiningen,Falla,04/03/2014,95,34,60
Rollie,Mellhuish,Bartlet,14/07/2020,31,52,48
Dana,Meneghi,Moncey,15/07/1997,72,12,11
Thomasina,Merring,Whipple,22/09/1998,39,8,62
Rianon,Mico,Vogele,06/05/2006,77,17,26
Danyelle,Mikalski,Mateos,27/05/2010,96,62,39
Ralph,Minty,Gillinghams,05/03/2011,48,41,91
Salome,Mitchel,Skelding,02/12/2017,6,45,94
Elvis,Mival,Gounod,22/04/2017,94,15,44
Farrel,Mizzen,Ricciardello,30/06/2017,9,45,45
Mandel,Moakes,Monkley,06/04/2005,62,84,63
Calypso,Monelli,Joss,09/10/2013,7,50,91
Magda,Monini,Pady,02/07/2004,32,15,39
Janna,Montes,Boliver,08/03/2008,14,24,13
Lorianne,Morales,Seine,15/03/2015,65,34,90
Donny,Morch,Swarbrick,12/09/2012,78,7,33
Genovera,Morrish,Brodeau,24/07/2017,81,15,76
Reinaldo,Moscon,Mapston,30/06/2008,2,82,76
Fifine,Mosen,Folbige,21/11/2015,39,49,74
Pavla,Moulster,Ayling,14/01/2005,47,37,77
Eleonore,Mouncher,Marquis,22/03/2018,24,61,33
Rog,Mountlow,Kilbourne,05/09/2018,46,26,83
Martino,Moynham,Hayworth,22/01/2004,21,2,89
Charmaine,Muehle,Dumini,29/10/1998,78,5,37
Drugi,Mullenger,Ubsdall,19/05/2004,29,50,65
Sissie,Mulqueeny,Grieveson,16/07/2017,37,82,95
Jade,Munnings,Walmsley,08/09/2020,97,50,80
Ashbey,Nani,Lindblom,22/11/2005,24,94,54
Randolph,Narey,Ends,05/05/2005,25,32,30
Kimball,Neads,Tavernor,15/10/2005,99,78,82
Minette,Nelthorp,Trelease,09/09/2013,60,55,25
Madelin,Nesey,Dabrowski,06/04/1999,2,23,58
Lynnet,Newbold,Phippen,18/05/2009,30,58,75
Wilton,Newell,Curphey,26/11/2001,14,36,70
Malissia,Newlands,Samuel,27/04/2004,40,59,42
Ambrosi,Nono,Andrassy,05/06/2007,57,27,33
Gerhardine,Nutbeem,Mishaw,25/09/2011,93,37,99
Andrei,Nuzzi,Coper,08/02/2009,53,52,68
Vernon,O' Sullivan,Gilogly,10/08/2007,31,18,83
Cristin,O'Cuddie,Rosenau,01/03/2018,14,83,36
Charlene,O'Dennehy,Kelsow,03/08/2007,73,96,95
Vanna,O'Noland,Bartels,25/05/2012,85,69,27
Donaugh,O'Sheils,Ruggles,10/01/2007,33,11,96
Stearne,Oakland,Kimmons,24/01/2020,29,39,91
Jackson,Oaten,Riseborough,03/01/2020,8,58,7
Darsey,Obey,Looby,29/12/1998,23,17,66
Christabel,Oda,Bartley,02/01/2014,86,90,60
Shanan,Ogborne,Thorndale,02/05/2017,1,72,13
Broderic,Okker,Cranstone,06/04/2007,94,50,90
Tiffani,Oliff,Havers,15/02/2005,35,2,61
Wilbur,Oliva,Sidnall,06/07/2011,68,2,38
Collete,Olivetta,Rankling,02/05/2005,41,36,24
Koralle,Olivetti,Recke,13/09/2017,13,18,16
Meggy,Ollerearnshaw,Spore,15/03/2021,25,69,91
Annalee,Olley,Harnwell,09/10/2019,74,30,69
Lise,Onn,Isbell,21/01/2018,48,96,66
Bunnie,Ormrod,Island,17/12/2017,98,2,49
Frederic,Orrow,Danilov,05/04/2019,26,93,57
Chick,Osmint,Mateescu,26/02/2008,35,37,65
Daveta,Oswal,Bigland,19/12/2002,59,66,56
Paule,Paal,Yezafovich,27/06/2009,80,18,65
Karine,Pabelik,De Bruijne,21/02/2017,55,11,10
Joanne,Padefield,Pim,17/08/2015,20,15,64
Freda,Pagram,Gladhill,08/02/2021,32,30,23
Scarlett,Palomba,McMillan,14/03/2006,99,46,86
Nancy,Panchen,Clurow,18/05/2020,100,57,83
Ruggiero,Pancoast,Goscomb,02/09/2016,58,36,72
Alessandra,Paradis,Neely,12/07/2013,51,89,88
Durward,Parlot,Sebrens,08/09/2012,85,64,93
Dore,Parsons,Rushbrooke,25/06/2003,49,26,84
Jodie,Parvin,Hazelhurst,22/10/2008,9,51,50
Brianne,Parysiak,Bontoft,01/08/2014,92,90,51
Tommie,Patience,Schutter,01/10/2000,55,23,81
Leicester,Pawel,Stegers,21/06/1998,9,50,13
Grove,Paynton,Fallis,11/02/2020,43,78,68
Sula,Peagram,Brogden,27/07/2019,28,70,12
Warden,Pedrielli,Attride,18/06/2020,82,27,7
Marilyn,Pellissier,Rabb,13/07/2009,48,4,36
Val,Penni,Lotherington,31/10/2020,18,96,61
Lilia,Penning,Farran,24/08/2004,64,90,38
Johann,Penright,Peres,29/03/2002,92,95,59
Petra,Pentony,Cardwell,21/11/2012,99,67,79
Eugenius,Penwright,Walcot,03/12/2005,41,59,64
Rip,Peret,Forte,12/08/1997,79,85,89
Kath,Perree,Purvess,31/05/2014,98,71,86
Bernadine,Petranek,Durbann,04/02/2000,99,26,69
Thorvald,Petrello,Lyddiatt,20/07/2001,53,71,47
Kesley,Pettersen,Easthope,24/07/2006,44,38,91
Abbot,Petty,Lithcow,24/11/2014,51,62,21
Luelle,Petz,Larkkem,07/09/2013,86,52,87
Terrance,Pezey,Spall,01/02/2012,80,30,86
Tamarah,Phelipeau,Drewitt,02/09/2009,28,95,37
Herschel,Philbrook,MacMurray,05/04/2000,58,86,5
Dar,Phizackarley,Scyone,14/04/2016,91,78,30
Ceciley,Pickwell,Rains,09/11/2015,12,83,2
Rolfe,Piddock,Anmore,01/04/2015,18,70,98
Alice,Pilsworth,Congdon,18/11/2016,13,57,77
Dewey,Pinchin,Roft,21/12/2004,20,62,36
Roshelle,Pindar,A'Barrow,08/07/1997,36,55,28
Elia,Pinilla,Shenfisch,20/01/2006,87,7,30
Ev,Pipe,Sunnex,19/02/1999,2,75,48
Alric,Pitchers,Rooson,18/11/2020,76,61,13
Eleen,Pizzie,Macewan,09/01/2021,94,43,21
Minnie,Pollen,Demangeot,07/11/1997,16,6,83
Erwin,Polson,Cowdroy,05/03/2001,76,47,70
Tamas,Popham,McGinn,03/11/2013,63,55,69
Moritz,Portman,Mosdill,22/09/1997,15,42,94
Nichole,Posselwhite,Towriss,17/07/2004,55,96,39
Alasdair,Postians,Hoppner,01/12/2018,91,93,74
Grover,Pottery,Matushevich,26/05/2009,72,19,5
Gates,Potts,Chisnell,04/08/2012,90,55,59
Tisha,Poundford,Ebrall,10/02/2008,86,95,88
Cosetta,Powley,Michin,05/07/2013,39,10,69
Hailey,Prangnell,Drought,05/10/2001,14,95,39
Starlene,Pre,Balogh,08/07/2009,13,83,69
Teriann,Preece,Wingar,29/06/2008,23,53,20
Jacky,Pregal,McLugaish,31/05/2019,98,13,68
Jemmie,Pretor,Raft,24/11/2015,57,78,55
Keane,Pretty,Keune,20/10/2003,54,72,100
Darsie,Prince,Challin,02/07/2002,15,61,54
Timmie,Probbin,Brimmell,07/11/1998,58,89,65
Mei,Probin,McClaren,22/04/2006,2,75,78
Curran,Pumfrett,Dufoure,10/06/2003,53,88,96
Odelia,Purkess,Dikels,17/10/2017,52,10,3
Selena,Puttnam,Zanettini,03/02/2016,32,29,58
Dorothee,Pyne,Sabine,11/06/2019,88,58,25
Delia,Pyrah,Rilings,16/03/1998,59,24,39
Daniel,Quare,Trewartha,14/12/2010,29,38,74
Dyana,Quartly,Connelly,30/04/2018,77,91,1
Benito,Quiney,Field,17/03/2001,80,67,96
Leda,Quittonden,Snell,05/02/2004,15,70,96
Maury,Radden,Summerrell,23/07/2002,43,15,37
Georgianna,Rae,Del Monte,14/07/2003,58,6,59
Reinhold,Ramelot,Lande,16/03/2019,53,50,66
Ariel,Rannigan,O'Day,30/09/2005,93,36,25
Rockie,Ranscome,Lilly,12/07/2008,77,83,35
Antonin,Rashleigh,Erdis,07/11/2015,95,15,41
Thaddeus,Rassell,Machin,19/12/1998,71,53,33
Rena,Ratray,Bimrose,18/02/2005,34,42,9
Ianthe,Rau,Rameau,11/11/2001,30,33,96
Horace,Raven,Grewar,07/07/1997,78,22,72
Adriana,Rawdales,Wilsone,21/04/1999,2,60,100
Shara,Razzell,Dilger,12/07/2004,7,59,23
Merrie,Reeder,Corrigan,13/02/2001,12,75,73
Masha,Rees,O'Connell,14/09/2014,4,32,9
Catlee,Reiling,Griffen,26/05/2010,51,26,25
Tally,Reith,Hamilton,17/06/2016,0,14,57
Mayer,Remnant,Wontner,20/11/2003,50,57,3
Ira,Rengger,Shortcliffe,11/07/2003,15,71,33
Rennie,Rentilll,Roze,27/10/2016,93,76,64
Cynthea,Retchless,Billing,08/02/2021,68,23,82
Alano,Riccard,Baraja,28/01/2016,88,74,84
Cathy,Rilings,Hallaways,03/05/2002,95,41,91
Maryanna,Ringe,Kopman,14/09/2000,9,73,14
Romona,Rive,Crayden,14/06/2010,77,63,56
Charlotte,Robbie,Holah,22/02/2007,11,73,94
Hagan,Roberds,Phillipps,26/03/2018,100,98,72
Lazare,Robic,Rosenblum,26/05/2006,36,64,38
Morly,Rockhall,Medwell,11/03/2018,48,86,15
Hilly,Rodman,Balazin,01/07/1998,63,63,21
Corene,Roelofsen,Ettles,28/04/2006,74,87,5
Lucie,Roizn,Balfe,09/11/2007,7,52,48
Griff,Rollings,Hornig,27/06/2004,12,67,65
Bonnee,Rooper,Fedorski,26/02/2007,28,10,39
Boycey,Roseborough,Grundon,09/07/2018,36,11,40
Tobias,Roselli,Jimpson,03/12/2009,95,29,43
Maxie,Rosewall,Quimby,02/02/2018,8,40,42
Zeb,Roskelley,McRorie,13/11/2018,45,51,20
Claybourne,Roskelley,Glason,05/05/2002,12,24,48
Antons,Roubeix,Theml,08/07/2002,30,39,66
Evaleen,Rowaszkiewicz,Dumbellow,26/04/2011,29,79,36
Georgeanna,Royal,Conville,08/11/2001,95,97,2
Hoebart,Royan,Baile,18/01/2020,85,14,6
Chaunce,Rubinfajn,Kernermann,26/12/2012,70,62,39
Christoph,Ruddy,Height,14/11/2018,59,51,36
Maryjane,Rudolfer,Sturr,09/02/1998,79,31,53
Jami,Ruegg,Balloch,23/01/2009,50,29,47
Burch,Ruffles,Diamond,27/02/2010,4,73,15
Chris,Ruggen,Dammarell,19/04/2019,92,82,92
Maible,Ruggs,Mc Mechan,27/08/2014,5,73,30
Jarret,Runnett,Stammers,27/11/2000,92,8,77
Astrid,Rushby,Crosskill,19/03/2017,59,21,29
Annora,Rustidge,Scini,24/12/2016,11,85,12
Susannah,Ryton,Cellier,13/01/1998,55,90,83
Orsa,Sabattier,Burbridge,13/11/1998,35,26,8
Cyrill,Sabberton,Edy,12/01/2020,66,25,17
Abra,Saenz,Tudhope,01/06/2004,86,15,55
Nona,Sahnow,Copnell,05/09/2017,7,32,73
Tracee,Saiens,Jecock,28/05/2002,21,21,79
Lynelle,Saines,Asbury,13/01/1999,63,64,100
Lynna,Salleir,Shailer,07/10/2014,50,84,6
Red,Salman,Hegdonne,09/12/2011,39,34,14
Rosanna,Sambrok,Ledstone,05/01/2000,92,40,75
Granville,Sandyford,Semiraz,05/01/2021,55,65,27
Lu,Sanney,Sheere,15/09/2005,68,99,88
Tannie,Sauvan,Deluze,15/10/1999,2,64,71
Desdemona,Sawl,Rusbridge,06/09/1999,13,74,68
Kamilah,Sawtell,Pardy,30/10/1997,45,24,20
Basil,Sayers,Greening,27/09/2012,51,87,32
Jinny,Scaife,Sergeant,13/06/1997,55,3,19
Dew,Scambler,Wandrach,13/09/2008,59,22,77
Lana,Scamel,Kahan,30/12/2016,2,40,72
Thomasin,Scampion,Scarsbrook,30/01/2021,54,29,51
Barbey,Scantleberry,Tew,16/07/2014,68,71,53
Tomlin,Scaplehorn,Aplin,25/07/2008,92,11,39
Wernher,Scarisbrick,Archanbault,23/11/2009,39,46,68
Lenard,Scartifield,Gockeler,23/09/2018,79,75,2
Lindsay,Schellig,Addicott,02/08/1997,78,100,15
Margret,Schuchmacher,Marzello,05/02/2010,99,45,72
Ursulina,Sciusscietto,Punshon,06/12/2008,7,46,28
Kassia,Scotchbourouge,Boecke,03/10/2006,46,76,81
Tab,Scrivenor,Atcock,10/04/2009,93,15,19
Nial,Scurlock,Klarzynski,07/07/2006,41,54,56
West,Semiraz,Stothart,20/06/1997,63,37,77
Franklin,Settle,Pues,31/10/1998,15,52,86
Leon,Seyffert,Heckle,27/08/2007,76,14,63
Bryce,Shackel,Habert,13/06/2020,81,43,24
Julianne,Shakesbye,Faivre,08/05/2002,21,29,95
Norris,Shard,Batsford,22/08/1997,35,23,25
Sylvan,Sheard,Bjerkan,30/08/2018,11,49,32
Tamarah,Sheddan,Jillins,25/07/2005,39,43,66
Davy,Sheehan,Mughal,20/09/2003,86,35,51
Hayley,Shelsher,Baskeyfield,27/02/2007,81,4,8
Paxton,Sherington,Troup,14/03/2002,52,36,32
Rossy,Sheryn,Colkett,31/01/2000,83,18,21
Kathlin,Shinfield,Feaver,17/09/2016,10,61,83
Hal,Shorie,Wheal,18/02/2012,75,78,7
Adiana,Sidnell,Pitsall,31/03/2020,63,25,29
Odilia,Silly,Lecount,20/01/2016,86,72,24
Jeri,Sime,Stockings,29/10/2015,83,76,100
Felic,Sinnie,Holson,10/03/1999,50,53,60
Modesta,Siveyer,Witherow,12/02/2000,36,90,54
Electra,Sivior,Longman,18/04/2010,56,55,12
Vasili,Siviour,St Quenin,31/03/2013,63,95,85
Gayelord,Siward,Ings,24/08/2013,90,86,95
Claribel,Sjollema,Dullingham,07/03/2002,47,29,71
Mirelle,Skerritt,Crippill,19/02/2002,71,55,9
Estele,Skillett,Humpherston,28/12/2016,9,8,36
Nollie,Skillman,Manjin,21/02/2009,31,67,43
Wallie,Skinner,Helix,03/09/2006,96,27,84
Gaile,Slafford,Zute,29/05/2012,21,26,73
Gino,Slimings,Apark,31/08/2019,30,83,82
Jackie,Slinger,Percifull,06/05/2019,61,48,82
Padgett,Slocum,Woller,29/09/2000,38,72,43
Micki,Slyman,Burgott,08/11/1997,78,20,42
Cornelius,Smees,McCrillis,30/07/2008,27,19,66
Jerri,Sodor,Paoloni,15/04/2017,22,15,23
Goldarina,Solloway,Bremmer,16/06/2011,57,80,17
Fiorenze,Souch,Allum,25/01/2008,93,86,11
Sally,Southby,Wratten,08/07/2007,34,71,52
Sharla,Speir,Visick,24/07/2005,80,37,28
Mohandas,Springthorp,Burgyn,20/06/2000,38,86,31
Mireille,Spyby,Ferguson,25/10/1998,41,51,66
Ethelda,St Ledger,Jore,30/04/2015,26,28,54
Devan,Stainton - Skinn,Irce,24/02/2017,78,14,28
Janice,Stallwood,Grimsdale,09/02/2007,17,11,61
Bendick,Stebbings,Ginsie,23/09/2003,70,91,55
Clemmie,Stebles,Haskey,07/10/2019,11,34,18
Northrop,Stepney,Neighbour,16/07/2017,60,77,6
Ianthe,Stewart,Boyall,04/05/2001,5,32,35
Gunner,Stiggers,Dinsey,25/07/2013,66,93,9
Nickolai,Stoaks,Watson,23/07/2003,14,31,60
Tallia,Stockings,Escala,17/02/2013,65,37,46
Neala,Stoffels,Pennoni,12/06/2002,20,60,95
Ronnie,Stoite,Arnaez,12/08/2013,92,77,21
Simonette,Stonuary,Spurdens,22/02/2016,16,52,77
Cindee,Stribling,Carreck,12/10/2012,98,29,75
Kaila,Stubbes,MacCardle,08/05/2005,8,86,15
Meyer,Studart,Waye,07/04/2004,97,97,99
Dorita,Studeart,Dufour,27/03/2009,44,32,61
Dorisa,Studholme,Peasby,31/08/2001,99,5,42
Javier,Sturzaker,Densun,07/08/2003,54,42,85
Trumaine,Styles,Raccio,29/04/2010,44,89,39
Ashlee,Styles,Del Dello,14/05/2003,18,68,9
Caitlin,Suche,Welden,06/07/2002,43,74,18
Teddy,Suffe,Wand,05/10/2011,63,95,53
Miran,Sumers,Baltrushaitis,30/03/2018,14,30,37
Hurlee,Surmon,Quinnelly,01/03/2004,18,82,18
Tiertza,Swainson,Houltham,20/05/1998,34,36,98
Roley,Swannell,Briggdale,01/02/2020,17,33,62
Dominique,Syde,Shardlow,18/08/2013,76,84,22
Alvy,Szachniewicz,Click,07/05/2002,63,86,20
Willetta,Tailby,McKaile,10/10/2007,88,7,53
Hasheem,Tallyn,Howselee,26/02/2005,1,69,60
Isahella,Tatchell,Kilmurry,05/09/2003,36,66,14
Wernher,Tchir,Kidstone,27/03/2021,84,56,3
Arabele,Tesche,Pietrasik,24/02/2017,21,52,95
Hertha,Thandi,Giovannazzi,28/07/2001,99,49,64
Avrom,Thowes,Longhi,17/10/2001,81,34,62
Ashley,Tiffin,Dornin,05/05/2020,73,15,22
Wayland,Timlin,Kristufek,15/08/2002,44,44,39
Elijah,Tipperton,Cubitt,13/05/2020,86,87,70
Robbi,Tithecote,Buttle,17/08/2020,4,30,59
Henrietta,Titta,Menary,29/05/2016,1,44,3
Hunfredo,Toft,Epple,19/12/2017,11,32,63
Delcina,Tollerton,Tofanini,20/11/2005,33,18,94
Corette,Towler,Tiffin,01/02/2003,22,26,65
Douglas,Townshend,Warman,18/09/2012,70,31,82
Thomasine,Trembey,Korous,08/07/2002,42,64,81
Daffi,Tremethack,Morratt,02/12/2002,91,90,27
Horatius,Truesdale,Canellas,04/12/2000,42,83,88
Herc,Trumper,Dewerson,05/09/2016,31,43,9
Sari,Trunkfield,Bonde,19/12/2010,85,6,3
Gradey,Tustin,Jaxon,18/01/2003,5,25,1
Orton,Unthank,Amorts,18/03/2004,11,99,27
Angel,Upstell,Welbourn,27/06/2004,54,57,31
Sorcha,Urian,Richardsson,24/11/1999,67,31,42
Janenna,Utteridge,Filipson,25/04/2007,43,17,33
Myrilla,Vader,Boas,03/07/2000,12,89,9
Joseito,Valintine,Edlington,23/05/1999,78,90,63
Mathias,Vanderson,Bigby,12/02/2002,7,18,9
Bjorn,Vassar,Cullimore,14/04/2005,6,72,98
Sadella,Vasyukhichev,Bohlje,12/06/2000,44,80,95
Wesley,Vatcher,Jancey,17/06/2015,52,39,15
Dimitri,Vautin,Woodcroft,17/10/2005,75,48,91
Stanislas,Viegas,McGaughay,14/11/1997,90,29,63
Guillemette,Vogel,Ancliff,12/07/2003,17,92,58
Dario,Wadie,Krook,25/08/1999,27,43,19
Erik,Wadsworth,Jordeson,31/01/2000,87,100,47
Greg,Wainwright,Kornilyev,27/12/2002,72,27,99
Valaree,Walcot,Heale,14/11/2014,68,83,56
Jeanine,Walczynski,Stansbie,19/04/2004,82,24,15
Hansiain,Walklett,Vineall,27/02/2020,77,90,26
Martie,Walkling,Currin,23/12/2010,26,60,29
Maddie,Walklott,Farryan,17/12/2004,57,68,82
Philbert,Walshaw,Delahunt,23/10/2015,100,12,94
Braden,Wardesworth,Bonsul,15/05/2015,8,41,39
Anthe,Waszczyk,Quelch,22/04/2014,86,25,67
Antoni,Waterhowse,Lett,26/11/2000,90,59,20
Franchot,Watkiss,Ohrt,21/06/2013,90,83,73
Geoff,Watkiss,Langford,08/11/2003,61,26,35
Dulcine,Watterson,Payfoot,09/02/1998,1,65,98
Tyson,Weatherdon,Pountney,29/02/2008,88,70,76
Gaye,Webb,Claremont,03/06/2020,26,70,87
Ursulina,Webburn,Glasard,26/01/2001,96,85,88
Erminie,Wedderburn,Lawrenceson,04/02/2005,10,38,44
Lew,Weeds,Linnett,27/06/2012,45,5,23
Neil,Westhofer,Kowalski,25/01/2005,23,26,57
Audre,Westhofer,Monan,02/03/2003,73,1,53
Ianthe,Whatson,Volant,19/05/2010,55,89,4
Sue,Whether,Buttriss,19/05/2017,88,40,76
Amitie,Whinray,Purry,03/12/2006,39,12,87
Otha,Whitchurch,Dryden,06/05/2020,2,36,67
Melisent,Whitloe,Marking,17/07/2018,77,98,16
Kinsley,Whitmore,Loutheane,03/01/2006,1,51,95
Katharyn,Whitsey,Beedle,05/06/2007,0,100,61
Ricki,Wike,Bernaldez,12/03/2016,50,23,16
